Time (s);Bx (µT);By (µT);Bz (µT)
0.0123065327;-47.9207047753;-1924.3523824390;-24.8347795557
0.0246130653;-48.2747860168;-1923.8894048781;-27.4900891838
0.0369195980;-47.9207047753;-1924.3523824390;-24.8347795557
0.0492261307;-47.9207047753;-1924.6610341463;-26.9310766305
0.0615326633;-47.9207047753;-1924.6610341463;-25.8130515239
0.0738391960;-48.6288672584;-1924.1980565854;-27.4900891838
0.0861457286;-48.0977453961;-1924.8153600000;-25.9528046622
0.0984522613;-47.9207047753;-1923.8894048781;-23.8565075874
0.1107587940;-47.5666235338;-1925.1240117073;-26.0925578005
0.1230653266;-47.5666235338;-1923.8894048781;-26.3720640772
0.1353718593;-47.9207047753;-1924.6610341463;-26.0925578005
0.1476783920;-47.9207047753;-1923.8894048781;-26.0925578005
0.1599849246;-47.9207047753;-1924.0437307317;-24.6950264173
0.1722914573;-48.0977453961;-1924.0437307317;-26.7913234922
0.1845979899;-47.9207047753;-1923.8894048781;-26.3720640772
0.1969045226;-47.7436641545;-1924.6610341463;-25.9528046622
0.2092110553;-47.3895829130;-1924.8153600000;-26.2323109389
0.2215175879;-47.9207047753;-1925.7413151220;-26.5118172155
0.2338241206;-47.5666235338;-1925.7413151220;-27.7695954604
0.2461306533;-48.2747860168;-1923.2721014634;-24.9745326940
0.2584371859;-47.2125422922;-1924.5067082927;-26.0925578005
0.2707437186;-47.5666235338;-1924.5067082927;-25.1142858323
0.2830502513;-48.0977453961;-1923.5807531707;-25.6732983856
0.2953567839;-48.2747860168;-1923.8894048781;-26.7913234922
0.3076633166;-48.0977453961;-1922.1918204878;-26.6515703538
0.3199698492;-48.6288672584;-1923.5807531707;-25.3937921089
0.3322763819;-48.9829484999;-1924.0437307317;-25.2540389706
0.3445829146;-48.6288672584;-1922.9634497561;-27.3503360454
0.3568894472;-47.9207047753;-1923.1177756098;-26.0925578005
0.3691959799;-48.0977453961;-1922.3461463415;-24.6950264173
0.3815025126;-47.9207047753;-1924.3523824390;-28.4683611520
0.3938090452;-47.7436641545;-1924.3523824390;-27.6298423221
0.4061155779;-47.2125422922;-1924.3523824390;-26.6515703538
0.4184221106;-47.5666235338;-1924.8153600000;-25.3937921089
0.4307286432;-47.9207047753;-1924.9696858537;-25.3937921089
0.4430351759;-47.2125422922;-1924.9696858537;-23.5770013108
0.4553417085;-48.0977453961;-1924.8153600000;-28.3286080137
0.4676482412;-47.9207047753;-1925.2783375610;-25.9528046622
0.4799547739;-47.3895829130;-1926.2042926829;-26.6515703538
0.4922613065;-47.3895829130;-1925.2783375610;-28.3286080137
0.5045678392;-47.5666235338;-1925.1240117073;-27.3503360454
0.5168743719;-47.9207047753;-1923.4264273171;-25.1142858323
0.5291809045;-47.9207047753;-1925.1240117073;-27.0708297688
0.5414874372;-47.7436641545;-1924.0437307317;-24.5552732790
0.5537939698;-48.0977453961;-1922.9634497561;-27.3503360454
0.5661005025;-47.5666235338;-1923.8894048781;-27.9093485987
0.5784070352;-48.4518266376;-1925.1240117073;-26.0925578005
0.5907135678;-47.0355016715;-1923.8894048781;-25.9528046622
0.6030201005;-47.5666235338;-1924.3523824390;-24.4155201407
0.6153266332;-48.6288672584;-1924.1980565854;-25.5335452473
0.6276331658;-48.2747860168;-1923.5807531707;-27.0708297688
0.6399396985;-47.5666235338;-1923.8894048781;-25.3937921089
0.6522462312;-47.9207047753;-1925.8956409756;-27.0708297688
0.6645527638;-48.8059078792;-1923.8894048781;-25.9528046622
0.6768592965;-48.2747860168;-1923.4264273171;-26.5118172155
0.6891658291;-47.9207047753;-1924.6610341463;-25.3937921089
0.7014723618;-48.0977453961;-1924.6610341463;-25.2540389706
0.7137788945;-47.5666235338;-1924.9696858537;-25.9528046622
0.7260854271;-47.5666235338;-1924.9696858537;-25.9528046622
0.7383919598;-48.0977453961;-1924.6610341463;-27.3503360454
0.7506984925;-48.6288672584;-1924.3523824390;-25.1142858323
0.7630050251;-48.8059078792;-1925.8956409756;-27.9093485987
0.7753115578;-48.2747860168;-1923.7350790244;-29.0273737053
0.7876180905;-48.2747860168;-1924.0437307317;-23.9962607257
0.7999246231;-48.2747860168;-1924.8153600000;-29.0273737053
0.8122311558;-47.5666235338;-1925.2783375610;-27.2105829071
0.8245376884;-48.2747860168;-1923.1177756098;-27.4900891838
0.8368442211;-48.2747860168;-1924.1980565854;-28.1888548754
0.8491507538;-47.5666235338;-1924.1980565854;-25.2540389706
0.8614572864;-48.4518266376;-1924.9696858537;-24.4155201407
0.8737638191;-48.0977453961;-1924.9696858537;-28.3286080137
0.8860703518;-47.9207047753;-1923.8894048781;-24.5552732790
0.8983768844;-48.0977453961;-1924.0437307317;-25.6732983856
0.9106834171;-48.0977453961;-1924.9696858537;-27.6298423221
0.9229899497;-48.2747860168;-1924.5067082927;-25.8130515239
0.9352964824;-47.7436641545;-1922.5004721951;-25.9528046622
0.9476030151;-47.3895829130;-1923.2721014634;-27.7695954604
0.9599095477;-47.5666235338;-1924.3523824390;-25.5335452473
0.9722160804;-48.2747860168;-1924.1980565854;-24.4155201407
0.9845226131;-48.0977453961;-1923.5807531707;-28.3286080137
0.9968291457;-47.5666235338;-1924.6610341463;-27.2105829071
1.0091356784;-47.7436641545;-1924.1980565854;-27.3503360454
1.0214422111;-47.9207047753;-1924.3523824390;-28.1888548754
1.0337487437;-48.2747860168;-1924.3523824390;-27.9093485987
1.0460552764;-48.2747860168;-1924.5067082927;-27.9093485987
1.0583618090;-48.8059078792;-1924.3523824390;-24.9745326940
1.0706683417;-48.4518266376;-1923.8894048781;-25.8130515239
1.0829748744;-48.9829484999;-1923.8894048781;-28.3286080137
1.0952814070;-48.0977453961;-1924.3523824390;-26.6515703538
1.1075879397;-47.7436641545;-1922.9634497561;-25.8130515239
1.1198944724;-48.4518266376;-1923.7350790244;-24.5552732790
1.1322010050;-49.1599891207;-1923.1177756098;-27.2105829071
1.1445075377;-48.8059078792;-1924.0437307317;-27.2105829071
1.1568140704;-48.8059078792;-1923.7350790244;-29.7261393969
1.1691206030;-48.4518266376;-1924.3523824390;-28.1888548754
1.1814271357;-48.8059078792;-1923.4264273171;-25.6732983856
1.1937336683;-49.1599891207;-1921.8831687805;-25.6732983856
