Time (s);Bx (µT);By (µT);Bz (µT)
0.0123054755;-45.4421360845;-1921.7288429268;-30.1453988119
0.0246109510;-44.5569329807;-1923.5807531707;-31.9621896100
0.0369164265;-44.7339736014;-1923.5807531707;-34.4777460998
0.0492219020;-44.7339736014;-1924.0437307317;-33.0802147166
0.0615273775;-45.0880548430;-1923.5807531707;-32.3814490250
0.0738328530;-44.5569329807;-1923.7350790244;-30.7044113651
0.0861383285;-45.4421360845;-1923.8894048781;-32.8007084400
0.0984438040;-46.1502985676;-1924.0437307317;-32.2416958867
0.1107492795;-45.9732579468;-1923.5807531707;-32.1019427484
0.1230547550;-45.4421360845;-1924.5067082927;-32.1019427484
0.1353602305;-46.1502985676;-1923.4264273171;-31.2634239184
0.1476657061;-46.1502985676;-1923.2721014634;-31.9621896100
0.1599711816;-46.1502985676;-1923.1177756098;-32.9404615783
0.1722766571;-45.9732579468;-1922.6547980488;-32.5212021633
0.1845821326;-46.1502985676;-1922.8091239024;-35.4560180681
0.1968876081;-46.3273391884;-1921.2658653659;-32.6609553016
0.2091930836;-46.6814204299;-1921.8831687805;-33.7789804082
0.2214985591;-47.5666235338;-1920.9572136585;-33.9187335465
0.2338040346;-46.3273391884;-1922.8091239024;-33.0802147166
0.2461095101;-46.6814204299;-1922.3461463415;-31.8224364717
0.2584149856;-45.6191767053;-1922.8091239024;-33.7789804082
0.2707204611;-45.9732579468;-1923.1177756098;-32.5212021633
0.2830259366;-45.6191767053;-1924.9696858537;-32.3814490250
0.2953314121;-46.6814204299;-1923.5807531707;-30.9839176418
0.3076368876;-45.7962173261;-1924.3523824390;-30.7044113651
0.3199423631;-45.7962173261;-1922.9634497561;-31.8224364717
0.3322478386;-45.6191767053;-1924.5067082927;-32.2416958867
0.3445533141;-44.7339736014;-1924.5067082927;-31.9621896100
0.3568587896;-45.2650954637;-1924.9696858537;-30.7044113651
0.3691642651;-45.0880548430;-1925.1240117073;-31.6826833334
0.3814697406;-45.6191767053;-1924.8153600000;-29.5863862586
0.3937752161;-45.9732579468;-1924.9696858537;-29.3068799819
0.4060806916;-45.6191767053;-1923.8894048781;-29.5863862586
0.4183861671;-45.9732579468;-1923.4264273171;-30.4249050885
0.4306916427;-47.2125422922;-1924.1980565854;-30.2851519502
0.4429971182;-47.5666235338;-1923.8894048781;-30.1453988119
0.4553025937;-46.8584610507;-1923.5807531707;-32.3814490250
0.4676080692;-47.9207047753;-1922.6547980488;-30.7044113651
0.4799135447;-47.5666235338;-1921.7288429268;-27.7695954604
0.4922190202;-47.3895829130;-1923.2721014634;-30.2851519502
0.5045244957;-47.2125422922;-1924.0437307317;-31.4031770568
0.5168299712;-47.3895829130;-1921.5745170732;-30.2851519502
0.5291354467;-46.6814204299;-1922.6547980488;-33.4994741316
0.5414409222;-47.0355016715;-1923.1177756098;-30.9839176418
0.5537463977;-46.6814204299;-1923.5807531707;-30.1453988119
0.5660518732;-47.3895829130;-1923.1177756098;-30.5646582268
0.5783573487;-46.3273391884;-1923.5807531707;-31.9621896100
0.5906628242;-47.0355016715;-1923.7350790244;-30.8441645035
0.6029682997;-46.3273391884;-1924.3523824390;-30.9839176418
0.6152737752;-46.3273391884;-1924.1980565854;-30.2851519502
0.6275792507;-46.3273391884;-1923.5807531707;-31.1236707801
0.6398847262;-46.5043798091;-1923.4264273171;-32.3814490250
0.6521902017;-46.5043798091;-1922.6547980488;-30.9839176418
0.6644956772;-46.6814204299;-1923.8894048781;-31.6826833334
0.6768011527;-46.3273391884;-1924.5067082927;-32.6609553016
0.6891066282;-46.1502985676;-1923.2721014634;-33.3597209932
0.7014121037;-47.0355016715;-1923.7350790244;-29.1671268436
0.7137175793;-46.6814204299;-1921.7288429268;-29.1671268436
0.7260230548;-46.5043798091;-1923.5807531707;-29.5863862586
0.7383285303;-46.5043798091;-1921.8831687805;-32.1019427484
0.7506340058;-47.2125422922;-1922.5004721951;-30.8441645035
0.7629394813;-46.8584610507;-1922.6547980488;-31.1236707801
0.7752449568;-46.3273391884;-1922.8091239024;-31.4031770568
0.7875504323;-46.1502985676;-1921.7288429268;-30.8441645035
0.7998559078;-45.9732579468;-1923.2721014634;-33.6392272699
0.8121613833;-46.3273391884;-1922.3461463415;-31.8224364717
0.8244668588;-45.9732579468;-1922.8091239024;-32.3814490250
0.8367723343;-46.3273391884;-1922.6547980488;-30.9839176418
0.8490778098;-45.7962173261;-1922.6547980488;-33.3597209932
0.8613832853;-46.3273391884;-1922.8091239024;-30.4249050885
0.8736887608;-45.7962173261;-1924.6610341463;-30.9839176418
0.8859942363;-45.7962173261;-1923.8894048781;-32.8007084400
0.8982997118;-45.7962173261;-1923.8894048781;-29.5863862586
0.9106051873;-45.4421360845;-1924.0437307317;-31.9621896100
0.9229106628;-44.9110142222;-1924.0437307317;-31.1236707801
0.9352161383;-45.4421360845;-1925.5869892683;-31.1236707801
0.9475216138;-45.4421360845;-1924.0437307317;-32.6609553016
0.9598270893;-45.2650954637;-1925.5869892683;-32.8007084400
0.9721325648;-45.9732579468;-1925.5869892683;-31.9621896100
0.9844380403;-45.2650954637;-1925.4326634146;-32.6609553016
0.9967435159;-45.4421360845;-1924.9696858537;-31.6826833334
1.0090489914;-45.4421360845;-1923.7350790244;-32.9404615783
1.0213544669;-45.9732579468;-1923.5807531707;-30.0056456735
1.0336599424;-45.2650954637;-1924.1980565854;-33.7789804082
1.0459654179;-45.4421360845;-1923.7350790244;-30.9839176418
1.0582708934;-45.4421360845;-1924.0437307317;-30.8441645035
1.0705763689;-45.7962173261;-1924.8153600000;-33.3597209932
1.0828818444;-44.9110142222;-1922.9634497561;-33.4994741316
