Time (s);Ax (m/s²);Ay (m/s²);Az (m/s²)
0.0099069226;-0.3219739179;8.6947654025;4.4975668453
0.0198138453;-0.2596288626;8.6996017170;4.5456286652
0.0297207679;-0.3219739179;8.6947654025;4.4975668453
0.0396276905;-0.6384949679;8.5109854491;4.5840781211
0.0495346131;-0.6432907414;8.5158217636;4.6273337589
0.0594415358;-0.6289034210;8.5400033365;4.6850079428
0.0693484584;-0.6097203270;8.5496759656;4.7522944906
0.0792553810;-0.5857414596;8.5690212238;4.7619068545
0.0891623037;-0.5233964043;8.5738575384;4.7715192185
0.0990692263;-0.4610513490;8.5738575384;4.7907439464
0.1089761489;-0.3891147467;8.6270569986;4.8099686744
0.1188830716;-0.3027908240;8.5738575384;4.8243872203
0.1287899942;-0.2308542217;8.5496759656;4.7907439464
0.1386969168;-0.1589176194;8.5980391112;4.7522944906
0.1486038394;-0.1397345255;8.6318933131;4.7090388527
0.1585107621;-0.1061641111;8.6270569986;4.6417523049
0.1684176847;-0.1013683376;8.6125480549;4.5552410291
0.1783246073;-0.0965725641;8.6609112005;4.5312101192
0.1882315300;-0.0869810171;8.7286196044;4.4831482994
0.1981384526;-0.0965725641;8.7044380316;4.5023730273
0.2080453752;-0.0773894702;8.6270569986;4.4831482994
0.2179522978;-0.1157556581;8.6560748860;4.5167915733
0.2278592205;-0.1541218459;8.6367296277;4.5600472111
0.2377661431;-0.2260584482;8.5690212238;4.5984966670
0.2476730657;-0.3027908240;8.5158217636;4.6273337589
0.2575799884;-0.4178893876;8.5545122801;4.6753955788
0.2674869110;-0.5042133104;8.5641849093;4.7234573986
0.2773938336;-0.5473752717;8.5593485947;4.7715192185
0.2873007563;-0.5425794982;8.5835301675;4.8243872203
0.2972076789;-0.5329879513;8.6173843695;4.8436119483
0.3071146015;-0.5042133104;8.6464022568;4.8195810383
0.3170215241;-0.4610513490;8.5835301675;4.8003563104
0.3269284468;-0.4562555755;8.5593485947;4.7378759446
0.3368353694;-0.4370724816;8.5641849093;4.6513646689
0.3467422920;-0.4274809346;8.5593485947;4.5888843030
0.3566492147;-0.3987062937;8.4916401908;4.5264039372
0.3665561373;-0.3891147467;8.5061491345;4.5071792093
0.3764630599;-0.3219739179;8.5835301675;4.4975668453
0.3863699825;-0.2884035035;8.6318933131;4.5312101192
0.3962769052;-0.2500373156;8.6173843695;4.5744657571
0.4061838278;-0.2116711278;8.6947654025;4.5984966670
0.4160907504;-0.1876922603;8.7528011772;4.6561708508
0.4259976731;-0.1781007134;8.6802564588;4.6705893968
0.4359045957;-0.2020795808;8.6222206840;4.7234573986
0.4458115183;-0.2212626747;8.5738575384;4.7522944906
0.4557184410;-0.2500373156;8.5738575384;4.7955501284
0.4656253636;-0.2740161831;8.5690212238;4.8003563104
0.4755322862;-0.3027908240;8.5013128200;4.7715192185
0.4854392088;-0.3027908240;8.5061491345;4.7474883086
0.4953461315;-0.3507485588;8.5641849093;4.7522944906
0.5052530541;-0.3363612384;8.5883664821;4.7330697626
0.5151599767;-0.3699316528;8.5641849093;4.6946203067
0.5250668994;-0.3651358793;8.5883664821;4.6802017608
0.5349738220;-0.3603401058;8.6512385714;4.6465584869
0.5448807446;-0.3459527853;8.6609112005;4.5888843030
0.5547876672;-0.3267696914;8.6270569986;4.5408224832
0.5646945899;-0.3075865975;8.5980391112;4.5408224832
0.5746015125;-0.2979950505;8.6173843695;4.5215977552
0.5845084351;-0.2836077300;8.6222206840;4.4879544813
0.5944153578;-0.2931992770;8.5980391112;4.5456286652
0.6043222804;-0.2931992770;8.5400033365;4.5552410291
0.6142292030;-0.3027908240;8.5545122801;4.6081090310
0.6241361257;-0.2931992770;8.6270569986;4.6465584869
0.6340430483;-0.2788119566;8.6077117403;4.6946203067
0.6439499709;-0.2692204096;8.5932027966;4.7138450347
0.6538568935;-0.2548330891;8.6512385714;4.7715192185
0.6637638162;-0.2740161831;8.6947654025;4.8003563104
0.6736707388;-0.2884035035;8.6173843695;4.7715192185
0.6835776614;-0.2788119566;8.5835301675;4.7811315825
0.6934845841;-0.2788119566;8.5932027966;4.7667130365
0.7033915067;-0.3027908240;8.5545122801;4.7330697626
0.7132984293;-0.2979950505;8.5400033365;4.6994264887
0.7232053519;-0.3123823709;8.5496759656;4.6898141247
0.7331122746;-0.3459527853;8.5303307073;4.6369461229
0.7430191972;-0.3747274263;8.5738575384;4.5888843030
0.7529261198;-0.4130936141;8.6222206840;4.6225275769
0.7628330425;-0.4178893876;8.6173843695;4.6321399409
0.7727399651;-0.4274809346;8.6028754258;4.6129152130
0.7826468877;-0.3987062937;8.6222206840;4.6561708508
