Time (s);Pressure (kPa)
0.0100000000;101.9513296848;18.4579439252
0.0200000000;101.7278940960;18.6448598131
0.0300000000;101.6387747600;18.2710280374
0.0400000000;101.9066606729;18.2710280374
0.0500000000;101.9959986967;18.6448598131
0.0600000000;101.6834890365;17.8971962617
0.0700000000;101.6387747600;18.2710280374
0.0800000000;101.8619463963;18.6448598131
0.0900000000;101.6833344280;18.4579439252
0.1000000000;101.6833344280;18.4579439252
0.1100000000;101.8173320564;18.4579439252
0.1200000000;101.9513296848;18.4579439252
0.1300000000;101.8173320564;18.4579439252
0.1400000000;101.8619916609;18.0841121495
0.1500000000;101.8173320564;18.4579439252
0.1600000000;101.7727177164;18.2710280374
0.1700000000;101.9066606729;18.2710280374
0.1800000000;101.7278940960;18.6448598131
0.1900000000;101.7727177164;18.2710280374
0.2000000000;101.9065607363;18.8317757009
0.2100000000;101.8173320564;18.4579439252
0.2200000000;102.0853273132;18.4579439252
0.2300000000;101.6833344280;18.4579439252
0.2400000000;101.7727177164;18.2710280374
0.2500000000;101.8173320564;18.4579439252
0.2600000000;101.6833344280;18.4579439252
0.2700000000;101.6387747600;18.2710280374
0.2800000000;101.9513296848;18.4579439252
0.2900000000;101.8173320564;18.4579439252
0.3000000000;102.1745465858;18.2710280374
0.3100000000;101.6833344280;18.4579439252
0.3200000000;101.8619463963;18.6448598131
0.3300000000;101.8173320564;18.4579439252
0.3400000000;101.8173320564;18.4579439252
0.3500000000;101.8173320564;18.4579439252
0.3600000000;101.8173320564;18.4579439252
0.3700000000;101.7278940960;18.6448598131
0.3800000000;101.8173320564;18.4579439252
0.3900000000;101.9066606729;18.2710280374
0.4000000000;101.5942150920;18.0841121495
0.4100000000;101.6387747600;18.2710280374
0.4200000000;101.8619463963;18.6448598131
0.4300000000;101.6387747600;18.2710280374
0.4400000000;102.0406036293;18.2710280374
0.4500000000;101.9513296848;18.4579439252
0.4600000000;101.8173320564;18.4579439252
0.4700000000;101.9513296848;18.4579439252
0.4800000000;101.9513296848;18.4579439252
0.4900000000;101.9513296848;18.4579439252
0.5000000000;101.8173320564;18.4579439252
0.5100000000;101.6833344280;18.4579439252
0.5200000000;101.6833344280;18.4579439252
0.5300000000;101.7727177164;18.2710280374
0.5400000000;101.8173320564;18.4579439252
0.5500000000;101.8619463963;18.6448598131
0.5600000000;101.6387747600;18.2710280374
0.5700000000;101.6387747600;18.2710280374
0.5800000000;101.8619916609;18.0841121495
0.5900000000;101.7727177164;18.2710280374
0.6000000000;101.8173320564;18.4579439252
0.6100000000;101.8173320564;18.4579439252
0.6200000000;101.6387747600;18.2710280374
0.6300000000;101.8619463963;18.6448598131
0.6400000000;101.6387747600;18.2710280374
0.6500000000;101.7281033764;18.0841121495
0.6600000000;101.6833344280;18.4579439252
0.6700000000;101.8619463963;18.6448598131
0.6800000000;101.8173320564;18.4579439252
0.6900000000;101.6833344280;18.4579439252
0.7000000000;101.6833344280;18.4579439252
0.7100000000;101.8173320564;18.4579439252
0.7200000000;101.9958799454;18.0841121495
0.7300000000;101.8173320564;18.4579439252
0.7400000000;101.9513296848;18.4579439252
0.7500000000;101.8173320564;18.4579439252
0.7600000000;101.7727177164;18.2710280374
0.7700000000;101.8173320564;18.4579439252
0.7800000000;101.8619463963;18.6448598131
0.7900000000;101.8173320564;18.4579439252
0.8000000000;101.8619463963;18.6448598131
0.8100000000;101.6833344280;18.4579439252
0.8200000000;101.9959986967;18.6448598131
0.8300000000;101.6387747600;18.2710280374
0.8400000000;101.8173320564;18.4579439252
0.8500000000;102.0406036293;18.2710280374
0.8600000000;101.7727177164;18.2710280374
0.8700000000;101.9513296848;18.4579439252
0.8800000000;101.6387747600;18.2710280374
0.8900000000;101.9065607363;18.8317757009
0.9000000000;101.8173320564;18.4579439252
0.9100000000;101.8173320564;18.4579439252
0.9200000000;101.9959986967;18.6448598131
0.9300000000;101.9513296848;18.4579439252
0.9400000000;101.7278940960;18.6448598131
0.9500000000;101.9513296848;18.4579439252
0.9600000000;101.6833344280;18.4579439252
0.9700000000;101.6833344280;18.4579439252
0.9800000000;101.8173320564;18.4579439252
0.9900000000;101.8173320564;18.4579439252
1.0000000000;101.6833344280;18.4579439252
1.0100000000;101.7727177164;18.2710280374
1.0200000000;101.8173320564;18.4579439252
