Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
0.0103159225;0.1409748632;0.0333755384;-0.2233781491
0.0206318450;0.1385208755;0.0346025323;-0.2184701736
0.0309477675;0.1409748632;0.0333755384;-0.2233781491
0.0412636900;0.1446558448;0.0333755384;-0.2160161859
0.0515796125;0.1520178080;0.0284675630;-0.2111082104
0.0618955350;0.1679687282;0.0186516121;-0.2135621981
0.0722114575;0.1925086055;0.0076086673;-0.2111082104
0.0825273799;0.1961895871;-0.0071152591;-0.1890223208
0.0928433024;0.1888276239;-0.0181582039;-0.1558934865
0.1031592249;0.1556987896;-0.0157042162;-0.1252186399
0.1134751474;0.0833061515;-0.0181582039;-0.0920898055
0.1237910699;0.0464963356;-0.0034342775;-0.0982247748
0.1341069924;0.0219564583;0.0296945568;-0.0969977810
0.1444229149;-0.0013564251;0.0493264587;-0.0810468607
0.1547388374;-0.0222153209;0.0530074403;-0.0810468607
0.1650547599;-0.0443012104;0.0444184832;-0.0626419527
0.1753706824;-0.0639331123;0.0407375016;-0.0368750816
0.1856866049;-0.0762030509;0.0321485446;-0.0062002350
0.1960025274;-0.0921539712;0.0198786059;0.0367445503
0.2063184499;-0.0958349528;-0.0034342775;0.0698733847
0.2166343724;-0.0860190018;-0.0230661793;0.1017752252
0.2269502949;-0.0749760570;-0.0426980812;0.1287690902
0.2372662174;-0.0749760570;-0.0561950137;0.1434930166
0.2475821398;-0.0577981429;-0.0586490014;0.1484009920
0.2578980623;-0.0381662411;-0.0500600444;0.1398120350
0.2682139848;-0.0185343393;-0.0341091241;0.1140451638
0.2785299073;-0.0148533577;-0.0193851978;0.0858243049
0.2888458298;-0.0025834190;-0.0009802898;0.0563764522
0.2991617523;0.0084595258;0.0174246182;0.0281555933
0.3094776748;0.0268644338;0.0223325937;0.0023887221
0.3197935973;0.0428153540;0.0211055998;-0.0295131184
0.3301095198;0.0575392804;0.0149706305;-0.0626419527
0.3404254423;0.0624472558;0.0088356611;-0.0982247748
0.3507413648;0.0612202620;0.0198786059;-0.1154026889
0.3610572873;0.0538582988;0.0431914894;-0.1276726276
0.3713732098;0.0342263969;0.0640503851;-0.1276726276
0.3816891323;0.0219564583;0.0787743114;-0.1264456337
0.3920050548;0.0096865196;0.0824552930;-0.1227646521
0.4023209773;-0.0038104129;0.0898172562;-0.1055867380
0.4126368997;-0.0209883270;0.0934982378;-0.0700039159
0.4229528222;-0.0320312718;0.0849092808;-0.0356480877
0.4332687447;-0.0369392472;0.0726393421;-0.0086542227
0.4435846672;-0.0332582656;0.0542344341;0.0171126485
0.4539005897;-0.0148533577;0.0370565200;0.0269285994
0.4642165122;-0.0062644006;0.0027006918;0.0367445503
0.4745324347;-0.0025834190;-0.0181582039;0.0453335074
0.4848483572;0.0060055380;-0.0242931732;0.0600574338
0.4951642797;0.0109135135;-0.0206121916;0.0760083540
0.5054802022;0.0121405074;-0.0193851978;0.0870512988
0.5157961247;0.0010975626;-0.0181582039;0.0895052865
0.5261120472;0.0109135135;-0.0292011487;0.0784623417
0.5364279697;0.0121405074;-0.0267471609;0.0612844276
0.5467438922;0.0133675012;-0.0255201671;0.0379715442
0.5570598147;0.0121405074;-0.0120232346;0.0257016055
0.5673757372;0.0158214890;-0.0034342775;0.0060697037
0.5776916596;0.0231834522;0.0088356611;-0.0233781491
0.5880075821;0.0219564583;0.0235595875;-0.0466910325
0.5983235046;0.0219564583;0.0493264587;-0.0724579037
0.6086394271;0.0121405074;0.0726393421;-0.0933167994
0.6189553496;0.0023245565;0.0910442501;-0.0982247748
0.6292712721;-0.0013564251;0.1082221642;-0.0957707871
0.6395871946;-0.0148533577;0.1057681765;-0.0908628116
0.6499031171;-0.0209883270;0.0971792194;-0.0810468607
0.6602190396;-0.0308042779;0.0812282992;-0.0565069834
0.6705349621;-0.0320312718;0.0640503851;-0.0393290693
0.6808508846;-0.0209883270;0.0493264587;-0.0331941000
0.6911668071;-0.0148533577;0.0260135753;-0.0233781491
0.7014827296;-0.0185343393;0.0014736980;-0.0111082104
0.7117986521;-0.0209883270;-0.0157042162;-0.0000652656
0.7221145746;-0.0258963024;-0.0292011487;0.0183396423
0.7324304971;-0.0271232963;-0.0353361180;0.0342905626
0.7427464195;-0.0111723761;-0.0451520689;0.0465605012
0.7530623420;0.0023245565;-0.0561950137;0.0576034460
0.7633782645;0.0072325319;-0.0586490014;0.0563764522
0.7736941870;0.0109135135;-0.0500600444;0.0576034460
0.7840101095;0.0096865196;-0.0316551364;0.0502414828
0.7943260320;0.0109135135;-0.0193851978;0.0428795196
0.8046419545;0.0060055380;0.0014736980;0.0281555933
0.8149578770;0.0096865196;0.0137436366;0.0207936301
