Time (s);Pressure (kPa)
0.0099590643;102.1747746810;18.8317757009
0.0199181287;101.6833344280;18.4579439252
0.0298771930;102.0406036293;18.2710280374
0.0398362573;101.8173320564;18.4579439252
0.0497953216;102.1747746810;18.8317757009
0.0597543860;101.6833344280;18.4579439252
0.0697134503;102.0406036293;18.2710280374
0.0796725146;101.9513296848;18.4579439252
0.0896315789;101.9066606729;18.2710280374
0.0995906433;101.8173320564;18.4579439252
0.1095497076;101.6387747600;18.2710280374
0.1195087719;101.6833344280;18.4579439252
0.1294678363;101.6387747600;18.2710280374
0.1394269006;101.6387747600;18.2710280374
0.1493859649;101.6387747600;18.2710280374
0.1593450292;101.9513296848;18.4579439252
0.1693040936;101.9066606729;18.2710280374
0.1792631579;101.7727177164;18.2710280374
0.1892222222;101.9065607363;18.8317757009
0.1991812865;101.7278940960;18.6448598131
0.2091403509;101.8619463963;18.6448598131
0.2190994152;101.9066606729;18.2710280374
0.2290584795;101.9959986967;18.6448598131
0.2390175439;101.9513296848;18.4579439252
0.2489766082;101.7727177164;18.2710280374
0.2589356725;101.8173320564;18.4579439252
0.2688947368;101.7281033764;18.0841121495
0.2788538012;102.1745465858;18.2710280374
0.2888128655;101.9066606729;18.2710280374
0.2987719298;101.8619463963;18.6448598131
0.3087309942;101.8619463963;18.6448598131
0.3186900585;101.6387747600;18.2710280374
0.3286491228;101.7281033764;18.0841121495
0.3386081871;101.9513296848;18.4579439252
0.3485672515;101.5942150920;18.0841121495
0.3585263158;101.6833344280;18.4579439252
0.3684853801;101.6387747600;18.2710280374
0.3784444444;101.7727177164;18.2710280374
0.3884035088;101.7278940960;18.6448598131
0.3983625731;101.8619916609;18.0841121495
0.4083216374;101.6833344280;18.4579439252
0.4182807018;101.6387747600;18.2710280374
0.4282397661;101.8173320564;18.4579439252
0.4381988304;101.7727177164;18.2710280374
0.4481578947;101.7727177164;18.2710280374
0.4581169591;101.6387747600;18.2710280374
0.4680760234;101.6833344280;18.4579439252
0.4780350877;101.6833344280;18.4579439252
0.4879941520;101.9959986967;18.6448598131
0.4979532164;101.8619463963;18.6448598131
0.5079122807;101.7278940960;18.6448598131
0.5178713450;101.8173320564;18.4579439252
0.5278304094;101.9513296848;18.4579439252
0.5377894737;101.7727177164;18.2710280374
0.5477485380;101.8173320564;18.4579439252
0.5577076023;101.7727177164;18.2710280374
0.5676666667;102.0853273132;18.4579439252
0.5776257310;101.6833344280;18.4579439252
