Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
0.5048215366;0.0354533908;0.0296945568;-0.0135621981
0.5151240169;0.0464963356;0.0407375016;-0.0037462472
0.5254264973;0.0477233295;0.0505534526;0.0048427098
0.5357289776;0.0440423479;0.0517804464;0.0085236914
0.5460314580;0.0329994031;0.0505534526;0.0122046730
0.5563339383;0.0182754767;0.0517804464;0.0183396423
0.5666364186;0.0060055380;0.0468724710;0.0232476178
0.5769388990;-0.0062644006;0.0395105078;0.0171126485
0.5872413793;-0.0148533577;0.0272405691;0.0122046730
0.5975438596;-0.0148533577;0.0247865814;0.0085236914
0.6078463400;-0.0173073454;0.0125166427;0.0060697037
0.6181488203;-0.0185343393;0.0002467041;0.0060697037
0.6284513007;-0.0295772840;-0.0083422530;0.0097506853
0.6387537810;-0.0283502902;-0.0181582039;0.0158856546
0.6490562613;-0.0234423147;-0.0328821303;0.0134316669
0.6593587417;-0.0209883270;-0.0426980812;-0.0025192534
0.6696612220;-0.0160803515;-0.0390170996;-0.0123352043
0.6799637024;-0.0185343393;-0.0365631119;-0.0135621981
0.6902661827;-0.0087183883;-0.0292011487;-0.0172431797
