Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
0.0103239845;0.1532448018;0.0309215507;-0.2344210939
0.0206479691;0.1630607528;0.0235595875;-0.2233781491
0.0309719536;0.1765576853;0.0174246182;-0.2221511552
0.0412959381;0.1986435749;0.0125166427;-0.2282861245
0.0516199226;0.2231834522;0.0076086673;-0.2233781491
0.0619439072;0.2526313049;-0.0071152591;-0.2086542227
0.0722678917;0.2366803847;-0.0328821303;-0.1681634251
0.0825918762;0.1593797712;-0.0476060567;-0.0945437932
0.0929158607;0.0575392804;-0.0561950137;-0.0086542227
0.1032398453;-0.0774300448;-0.0684649524;0.0539224644
0.1135638298;-0.1584116399;-0.0782809033;0.0502414828
0.1238878143;-0.1939944620;-0.0795078971;0.0318365749
0.1342117988;-0.2222153209;-0.0795078971;0.0428795196
0.1445357834;-0.2516631736;-0.0917778358;0.0711003785
0.1548597679;-0.3019699221;-0.1077287560;0.1017752252
0.1651837524;-0.3841785110;-0.1224526824;0.1164991515
0.1755077369;-0.4148533577;-0.1236796763;0.1226341209
0.1858317215;-0.4099453822;-0.1040477744;0.1201801331
0.1961557060;-0.3866324988;-0.0721459340;0.1042292129
0.2064796905;-0.3436877135;-0.0488330505;0.0502414828
0.2168036750;-0.2651601061;-0.0377901057;-0.0430100509
0.2271276596;-0.1682275908;-0.0451520689;-0.1583474742
0.2374516441;-0.0774300448;-0.0476060567;-0.2515990080
0.2477756286;-0.0013564251;-0.0476060567;-0.3154026889
0.2580996132;0.0661282374;-0.0414710873;-0.3387155724
0.2684235977;0.1409748632;-0.0341091241;-0.3411695601
0.2787475822;0.2415883601;-0.0242931732;-0.3325806031
0.2890715667;0.3262509368;-0.0328821303;-0.3129487012
0.2993955513;0.3949625933;-0.0537410260;-0.2810468607
0.3097195358;0.4440423479;-0.0856428665;-0.2417830570
0.3200435203;0.4685822252;-0.1212256886;-0.2000652656
0.3303675048;0.4636742497;-0.1604894922;-0.1546664926
0.3406914894;0.4563122865;-0.1923913327;-0.1129487012
0.3510154739;0.4464963356;-0.2034342775;-0.0773658791
0.3613394584;0.3863736362;-0.2058882652;-0.0540529957
0.3716634429;0.2882141270;-0.1948453205;-0.0282861245
0.3819874275;0.2145944951;-0.1678514554;0.0122046730
0.3923114120;0.1311589123;-0.1420845843;0.0539224644
0.4026353965;0.0526313049;-0.0979128051;0.1091371884
0.4129593810;-0.0234423147;-0.0623299830;0.1729408693
0.4232833656;-0.0970619466;-0.0365631119;0.2490144890
