Time (s);Pressure (kPa)
5.5786104319;101.5938417956;18.6448598131
5.5885900570;101.7278940960;18.6448598131
5.5985696822;101.8173320564;18.4579439252
5.6085493073;101.6383467916;18.8317757009
5.6185289324;101.9959986967;18.6448598131
5.6285085575;101.8173320564;18.4579439252
5.6384881826;101.7278940960;18.6448598131
5.6484678077;101.8619463963;18.6448598131
5.6584474328;101.8619463963;18.6448598131
5.6684270579;101.5942150920;18.0841121495
5.6784066830;101.8619463963;18.6448598131
5.6883863081;101.7727177164;18.2710280374
5.6983659332;101.8173320564;18.4579439252
5.7083455583;101.8173320564;18.4579439252
5.7183251834;101.7727177164;18.2710280374
5.7283048085;102.0406036293;18.2710280374
5.7382844336;102.0853273132;18.4579439252
5.7482640587;101.6833344280;18.4579439252
5.7582436838;101.8173320564;18.4579439252
5.7682233089;101.9065607363;18.8317757009
5.7782029340;101.8173320564;18.4579439252
5.7881825591;101.6833344280;18.4579439252
5.7981621842;101.8173320564;18.4579439252
5.8081418093;101.6833344280;18.4579439252
5.8181214344;102.0853273132;18.4579439252
5.8281010595;101.9959986967;18.6448598131
5.8380806846;101.8619463963;18.6448598131
5.8480603097;101.5493367995;18.4579439252
5.8580399348;101.8619463963;18.6448598131
5.8680195599;101.7278940960;18.6448598131
5.8779991850;101.9065607363;18.8317757009
5.8879788101;101.9959986967;18.6448598131
5.8979584352;101.9959986967;18.6448598131
5.9079380603;101.8619463963;18.6448598131
5.9179176854;101.8619463963;18.6448598131
5.9278973105;101.6833344280;18.4579439252
5.9378769356;101.8619463963;18.6448598131
5.9478565607;101.5938417956;18.6448598131
5.9578361858;101.5938417956;18.6448598131
5.9678158109;101.6833344280;18.4579439252
5.9777954360;101.7724537640;18.8317757009
5.9877750611;101.8173320564;18.4579439252
5.9977546862;101.9959986967;18.6448598131
6.0077343113;101.6833344280;18.4579439252
6.0177139364;101.8173320564;18.4579439252
6.0276935615;101.8173320564;18.4579439252
6.0376731866;101.8619463963;18.6448598131
6.0476528117;101.8619463963;18.6448598131
6.0576324368;101.7724537640;18.8317757009
6.0676120619;101.7278940960;18.6448598131
6.0775916870;101.9959986967;18.6448598131
6.0875713121;101.7278940960;18.6448598131
6.0975509372;101.6833344280;18.4579439252
6.1075305623;101.6833344280;18.4579439252
6.1175101874;101.6833344280;18.4579439252
6.1274898126;101.7724537640;18.8317757009
6.1374694377;101.7278940960;18.6448598131
6.1474490628;101.6833344280;18.4579439252
6.1574286879;101.7278940960;18.6448598131
6.1674083130;101.9065607363;18.8317757009
6.1773879381;101.7724537640;18.8317757009
6.1873675632;101.5493367995;18.4579439252
6.1973471883;101.6833344280;18.4579439252
6.2073268134;101.8173320564;18.4579439252
6.2173064385;101.6833344280;18.4579439252
6.2272860636;102.1300509971;18.6448598131
6.2372656887;101.7278940960;18.6448598131
6.2472453138;101.7281033764;18.0841121495
6.2572249389;101.8173320564;18.4579439252
6.2672045640;101.7724537640;18.8317757009
6.2771841891;101.8619463963;18.6448598131
6.2871638142;101.8619463963;18.6448598131
6.2971434393;101.9959986967;18.6448598131
6.3071230644;101.8173320564;18.4579439252
6.3171026895;101.7727177164;18.2710280374
6.3270823146;101.8173320564;18.4579439252
6.3370619397;101.9065607363;18.8317757009
6.3470415648;101.8619463963;18.6448598131
6.3570211899;101.6833344280;18.4579439252
6.3670008150;101.7278940960;18.6448598131
6.3769804401;101.9065607363;18.8317757009
6.3869600652;101.7278940960;18.6448598131
6.3969396903;101.6833344280;18.4579439252
6.4069193154;101.7278940960;18.6448598131
6.4168989405;101.6833344280;18.4579439252
6.4268785656;101.8619463963;18.6448598131
6.4368581907;101.6383467916;18.8317757009
6.4468378158;101.7724537640;18.8317757009
6.4568174409;101.9959986967;18.6448598131
6.4667970660;101.7727177164;18.2710280374
6.4767766911;101.7278940960;18.6448598131
6.4867563162;101.9959986967;18.6448598131
6.4967359413;101.8619463963;18.6448598131
6.5067155664;101.7278940960;18.6448598131
6.5166951915;101.8619463963;18.6448598131
6.5266748166;101.7727177164;18.2710280374
6.5366544417;101.8173320564;18.4579439252
6.5466340668;101.8619463963;18.6448598131
6.5566136919;101.4603268075;18.0841121495
6.5665933170;101.5938417956;18.6448598131
6.5765729421;101.7724537640;18.8317757009
6.5865525672;101.9513296848;18.4579439252
6.5965321923;101.9513296848;18.4579439252
6.6065118174;102.1747746810;18.8317757009
