Time (s);Ax (m/s²);Ay (m/s²);Az (m/s²)
0.0099189955;0.2439273533;9.0671616238;3.7237715456
0.0198379911;0.2727019942;9.0865068821;3.7045468177
0.0297569866;0.2439273533;9.0671616238;3.7237715456
0.0396759822;0.3014766352;8.9946169054;3.8727631872
0.0495949777;0.3398428230;9.0429800510;3.9256311890
0.0595139733;0.3254555026;8.9897805908;3.9064064611
0.0694329688;0.3206597291;8.9607627034;3.9064064611
0.0793519644;0.2966808617;8.9752716471;3.8583446412
0.0892709599;0.2966808617;9.0429800510;3.7814457295
0.0991899554;0.2103569389;9.0768342529;3.6660973618
0.1091089510;0.1623992041;9.1058521403;3.5891984500
0.1190279465;0.0856668283;9.0816705675;3.5074933563
0.1289469421;-0.0150444149;9.0139621636;3.4450129905
0.1388659376;-0.0438190558;9.0381437364;3.4450129905
0.1487849332;-0.1061641111;9.0429800510;3.4113697166
0.1587039287;-0.1685091664;8.9897805908;3.4402068085
0.1686229243;-0.2164669012;9.0091258491;3.4546253545
0.1785419198;-0.2308542217;8.9801079617;3.5074933563
0.1884609154;-0.2260584482;9.0139621636;3.5555551762
0.1983799109;-0.2068753543;9.0139621636;3.6420664519
0.2082989064;-0.1349387520;8.9607627034;3.7285777276
0.2182179020;-0.0917767906;8.9946169054;3.7814457295
0.2281368975;-0.0054528679;9.0187984782;3.8391199133
0.2380558931;0.0952583753;9.0236347927;3.9304373710
0.2479748886;0.2007653920;9.0091258491;3.9640806449
0.2578938842;0.3062724086;9.0139621636;3.9784991909
0.2678128797;0.3925963314;9.0091258491;3.9400497350
0.2777318753;0.4549413867;9.0187984782;3.9112126431
0.2876508708;0.5124906685;9.0333074219;3.8823755512
0.2975698663;0.5268779890;8.9801079617;3.8247013673
0.3074888619;0.5364695359;8.9607627034;3.8102828214
0.3174078574;0.4837160276;8.9994532199;3.7526086376
0.3273268530;0.4693287071;9.0574889947;3.7381900916
0.3372458485;0.4117794253;9.0719979384;3.7189653637
0.3471648441;0.3110681821;9.0381437364;3.6757097258
0.3570838396;0.2487231268;9.0719979384;3.6468726339
0.3670028352;0.1623992041;9.1445426568;3.6228417239
0.3769218307;0.1048499223;9.1155247694;3.5988108140
0.3868408262;0.0281175465;9.0187984782;3.6132293600
0.3967598218;-0.0534106027;8.9849442762;3.6276479059
0.4066788173;-0.0965725641;8.9849442762;3.5891984500
0.4165978129;-0.1397345255;9.0091258491;3.6180355420
0.4265168084;-0.1541218459;8.9365811306;3.6420664519
0.4364358040;-0.1253472050;8.9559263889;3.6757097258
0.4463547995;-0.0821852437;9.0333074219;3.7141591817
0.4562737951;-0.0677979232;9.0236347927;3.7189653637
0.4661927906;-0.0390232823;9.0139621636;3.7526086376
0.4761117861;-0.0150444149;9.0429800510;3.7189653637
0.4860307817;0.0664837344;9.0236347927;3.7766395475
0.4959497772;0.1192372427;8.9994532199;3.7478024556
0.5058687728;0.1671949776;9.0236347927;3.7574148195
0.5157877683;0.2439273533;9.0429800510;3.7285777276
0.5257067639;0.3158639556;9.0284711073;3.7237715456
